"","pitcher","p_throws.x","totalStrPct_before","totalBallPct_before","totalBIPPct_before","totalStrPct_after","totalBallPct_after","totalBIPPct_after","difference_totalBIP","difference_totalStr","difference_totalBall"
"68",461872,"R",0.451178451178451,0.398989898989899,0.14983164983165,0.396694214876033,0.487603305785124,0.115702479338843,-0.0341291704928068,-0.0544842363024181,0.0886134067952249
"69",462136,"R",0.412790697674419,0.372093023255814,0.215116279069767,0.37037037037037,0.451851851851852,0.177777777777778,-0.0373385012919896,-0.0424203273040483,0.0797588285960379
"70",465657,"R",0.496,0.361142857142857,0.142857142857143,0.60655737704918,0.262295081967213,0.131147540983606,-0.0117096018735363,0.11055737704918,-0.098847775175644
"71",467008,"R",0.49010989010989,0.367032967032967,0.142857142857143,0.526315789473684,0.394736842105263,0.0789473684210527,-0.0639097744360902,0.0362058993637941,0.0277038750722962
"72",467100,"R",0.433764633394948,0.356746765249538,0.209488601355514,0.42467718794835,0.393113342898135,0.182209469153515,-0.0272791322019994,-0.00908744544659756,0.036366577648597
"73",468504,"R",0.445918367346939,0.395918367346939,0.158163265306122,0.469957081545064,0.375536480686695,0.15450643776824,-0.0036568275378821,0.0240387141981256,-0.0203818866602435
"74",471911,"R",0.506040268456376,0.32751677852349,0.166442953020134,0.456043956043956,0.357142857142857,0.186813186813187,0.0203702337930526,-0.0499963124124198,0.0296260786193672
"75",472551,"L",0.449152542372881,0.372881355932203,0.177966101694915,0.363636363636364,0.363636363636364,0.272727272727273,0.0947611710323575,-0.0855161787365177,-0.00924499229583975
"76",472610,"R",0.424068767908309,0.411174785100287,0.164756446991404,0.416666666666667,0.40625,0.177083333333333,0.0123268863419292,-0.00740210124164276,-0.00492478510028654
"77",473879,"R",0.464447806354009,0.332829046898638,0.202723146747352,0.490909090909091,0.290909090909091,0.218181818181818,0.0154586714344658,0.0264612845550818,-0.0419199559895475
"78",474463,"L",0.418738049713193,0.363288718929254,0.217973231357553,0.404040404040404,0.381818181818182,0.214141414141414,-0.00383181721613846,-0.0146976456727891,0.0185294628889275
"79",475054,"R",0.479578392621871,0.379446640316206,0.140974967061924,0.583333333333333,0.166666666666667,0.25,0.109025032938076,0.103754940711462,-0.212779973649539
"80",475115,"R",0.444117647058824,0.361764705882353,0.194117647058824,0.407079646017699,0.415929203539823,0.176991150442478,-0.0171264966163456,-0.0370380010411244,0.0541644976574701
"81",475479,"R",0.470472440944882,0.399606299212598,0.12992125984252,0.482758620689655,0.379310344827586,0.137931034482759,0.008009774640239,0.0122861797447733,-0.0202959543850122
"82",476451,"R",0.387931034482759,0.413793103448276,0.198275862068966,0.459119496855346,0.371069182389937,0.169811320754717,-0.0284645413142486,0.0711884623725873,-0.0427239210583388
